timestamp,tweet_text,retweets,likes
2025-03-30 07:30:50+00:00,"Trade 1000074557 https://t.co/c2lvODzKXs 
@sharafi_eth 
@base 
@zora 
@based https://t.co/bOtvIsimUn",0,1
2025-03-30 07:27:38+00:00,"You know it when you see it ©
13
Just dropped this new NFT on https://t.co/h3HMtppdWV
Take a look
#NFT #NFTs #zora #NFTartist
#Web3 #NFTCommunity #NFTdrops #cryptoart

https://t.co/KbaJOyRbGp https://t.co/MAKgL3f8D6",0,0
2025-03-30 07:21:19+00:00,Trade Photo a colorful painting https://t.co/7IQkJA4YTM,0,0
2025-03-30 07:19:24+00:00,"Yayyy, I just joined ⁦@zora⁩ this is my first post.

Zora link in the comment section👇 https://t.co/BcEhBJw6H9",0,1
2025-03-30 06:52:53+00:00,Trade 1 https://t.co/LeiD2Zdy6t,0,0
2025-03-30 06:50:49+00:00,Trade Raging Bull https://t.co/Z1bF6Q6qwR,0,0
2025-03-30 06:48:33+00:00,"Trade $13  https://t.co/Po7WfIsn4L 
#zora",0,0
2025-03-30 06:30:56+00:00,Trade photo_2025-03-20_12-08-23 https://t.co/kG27xWoUVc,0,0
2025-03-30 06:30:06+00:00,"Based Guy 🔵

https://t.co/szaTmEgbUH https://t.co/fHFADli5aZ",0,1
2025-03-30 05:48:13+00:00,Trade 1743306347328 https://t.co/SzX08rdRv0,0,1
2025-03-30 05:16:51+00:00,Back it! https://t.co/ct57rVtAEB #nft,0,1
2025-03-30 05:08:26+00:00,"Coined on ZORA 💙🔥

https://t.co/VMkBV299J1",0,0
2025-03-30 04:35:01+00:00,Original #NFT #trending #africanart  https://t.co/MP3fVABYWW,0,1
2025-03-30 04:21:47+00:00,"@aGim_asf @zora @base Build on @base
Coin it on @zora !🫡",0,1
2025-03-30 04:07:33+00:00,"Trade Relic of the Chain #001  https://t.co/qOxne9cd7R A relic from the silent layer of the chain.  
Now live. Mint before it vanishes.  
https://t.co/zziiKVjqVR...
#onchain #memetics #zora #base #digitalrelic",0,0
2025-03-30 03:59:17+00:00,Trade Expo in NY  https://t.co/mEBRAK2HYN,0,0
2025-03-30 03:59:15+00:00,Trade Expo in NY  https://t.co/axNejYklLp,0,0
2025-03-30 03:59:11+00:00,Trade expo in NY  https://t.co/7JAr21vuJ6,0,0
2025-03-30 03:06:35+00:00,"✨Boost any coin with Coinboost ✨

~&gt; Today I made a video about Coinboost on Zora, enjoy it

💁Boost it at https://t.co/F9XO7zLPoL

👉test here: https://t.co/g5xSleap1q https://t.co/HPUsO0vNc3 https://t.co/loDn6dGlEv",0,2
2025-03-30 02:58:38+00:00,Trade Captain down bad 4K https://t.co/83gANA0pJq https://t.co/vQpdLmjSXB,0,0
2025-03-30 02:56:34+00:00,"coined on Zora
https://t.co/icIUUbySTk",0,0
2025-03-30 02:53:08+00:00,"Trade Spez, the sperm who survived without ever reaching the egg.  

https://t.co/p45LWzdLYv

#crypto #CryptoPump #Cryptocurrency",0,3
2025-03-30 02:14:35+00:00,"USA Coin $UUC to arrive at this moment, see my mother joyful and content.

🫵 https://t.co/5kU4tHAG7s

@NFTDoctor33 @michocodu13 @GreenSkyNFT @corporatmous @seankelly25 @EroAwardBTC @Memecoin_Quant @zora_io  #JDRAy6n",0,0
2025-03-30 02:04:10+00:00,"@base is light
@base is light
@base is light
@base is light 
@base is light

https://t.co/KUWhXI9SAt https://t.co/9EFmDtll0B",0,6
2025-03-30 01:37:06+00:00,@kryptopunkz_NFT @jessepollak @base @opensea Coin this on @zora,0,3
2025-03-30 01:31:01+00:00,The Bear #NFT #ETH #Zora #Base  https://t.co/TNBtdNIuR8,0,2
2025-03-30 01:27:46+00:00,"@EmirOfAfrica @zora @base @OnomeofWeb3 @Astronuelofweb3 @__iamcharis @Jessepollack @ekeson @Only1Gkash Love to see your journey unfold, Getting into @zora and @base with such solid guides is a blessing.

Congrats on your first coin King",0,5
2025-03-30 01:24:55+00:00,"https://t.co/Wqu6KBoKrU
🚀 Uniswap x Base: Uniswap is live on @base, making onchain swaps cheaper, faster &amp; more accessible.
🔹 Low fees, instant swaps
🔹 Scalable Ethereum L2
🔹 Built for mass adoptions
Start trading today
@baseafricaa
#CoinYourCreativity @Uniswap #Onchain @zora",0,0
2025-03-30 01:09:14+00:00,"#CoinYourCreativity25
https://t.co/zetFHhaask
Join the movement—connect, create and thrive on Base.
BaseConnect is revolutionizing how creators, developers &amp; communities interact onchain. Built on Base, it is a sleek and low-cost platform @baseafricaa @base @JessePollaka @zora",0,0
2025-03-30 01:04:59+00:00,"cop a coin on @zora so i can buy more of these ""I Jollibee Canada"" shirts pls 🫶

https://t.co/tww2MH1Wma",0,0
2025-03-30 01:04:10+00:00,"@baseafricaa @base @CoinbaseWallet @zora @BasedIndia @JessePollaka @ethereum Thank you so much for the tip. I got you!!
https://t.co/zetFHhaask

#CoinYourCreativity25",0,0
2025-03-30 01:03:00+00:00,"🟠🔴🟠🟠

😍New Drop 😍

🎭 Echoes of Elegance 🎭   

on @zora 

https://t.co/JhE13qk1kJ

#NFT_Shill
#HeleDs 
#Zora
#ETH 
#Base 
#BaseChain
#Orange 
#digitalart 
#aiart
#Aiartist
#NFTartist 
#NFTCollection 
#NFTartist 
#womeninmalefields 
#women https://t.co/EDyZR7Y09i",0,0
2025-03-30 00:51:27+00:00,Today I touched grass 🙏🏽 and coined it @zora https://t.co/qc3B4qBokM,0,1
2025-03-30 00:50:43+00:00,"🚨Its official!! 😎🤣 @zora
@base 
I AM A👇https://t.co/9ZkojfYAsc
All true ZORA addicts—this isn’t just art, it’s a statement of Web3 innovation and blockchain passion. Whether you're coining, collecting, or flipping, join me,wear the ZORA COIN JUNKY title with pride. #zoracoin",0,0
2025-03-30 00:50:29+00:00,"@gaiaaiagent @zora https://t.co/4AoGUiHYkG
Please coin this on @zora @gaiaaiagent",0,0
2025-03-30 00:41:55+00:00,"Totally wasn't just testing out a new contract that went straight to mint 😆 what happened to @zora lol

JUST (TEXT)

https://t.co/MQcCQPv6jY https://t.co/waeVI1aUmX",0,1
2025-03-30 00:35:45+00:00,"&lt;p&gt;Toby World&lt;/p&gt;

https://t.co/w3Ji0Ir87l",0,0
2025-03-30 00:34:35+00:00,"Posted my very first artwork on @zora 🔵

IN BASE WE TRUST @base 💙

Head over and check it out ! ⬇️
Much appreciated 💙

https://t.co/wXGKYReH6U",2,6
2025-03-30 00:18:31+00:00,"BM chads 🟦

https://t.co/cSpJBbozHx",0,13
2025-03-30 00:01:01+00:00,"Yo @OpenledgerHQ is building a whole new world for AI! Imagine a place where data models and money all flow in a fair and transparent cycle everything is in your control🍁🔥(1/2)👇🏻

https://t.co/d3p9XO33kz",0,11
2025-03-29 23:33:22+00:00,"Blue for Base on @Zora 💙

Check it out 😎

https://t.co/3Hw4c7m4ec",2,15
2025-03-29 23:20:04+00:00,"Coined this on @zora @jessepollak

https://t.co/TiPoz0o8PQ",0,2
2025-03-29 23:18:21+00:00,@unich_com @zora all this coin will be like i don't want to be late,0,0
2025-03-29 23:10:45+00:00,"https://t.co/tQyMUWhw5j
Clip released exclusively on @zora 
Am @base 
Am $DRB and $BNKR
Hope you appreciate the beat @rachelwilkinsb",0,2
2025-03-29 23:09:00+00:00,"Exclusive clip release on @zora done
Check it out

https://t.co/tQyMUWhw5j https://t.co/dWXYV4Dm5k",0,0
2025-03-29 23:05:44+00:00,"New post on zora
Link: https://t.co/LxvN8tfeve
@zora 
@sharafi_eth 
#ZORA 
#NFTs 
#nft 
#crypto 
#web3",0,2
2025-03-29 22:30:02+00:00,"Coined ""Ray of Hope"" on @zora because this is definitely a @sign to keep grinding and be @base -d at all time like my boss @Only1Gkash #TrustTheProcess #SIGN_challenge 
https://t.co/PpSgdledxn",0,0
2025-03-29 22:28:29+00:00,@CFCFico @MrBeast Coined https://t.co/6shHUvQsLW,0,0
